ball_1,ball_2,ball_3,ball_4,ball_5,ball_6,win_times
1,8,14,21,37,42,1
1,4,16,22,23,36,1
12,22,25,32,34,37,1
10,16,17,28,35,37,1
6,11,24,25,33,36,1
22,13,23,2,35,3,1
4,36,8,42,32,21,1
31,42,38,6,10,35,1
31,39,35,18,32,38,1
3,35,34,41,9,13,1
1,19,12,17,4,15,1
23,38,31,3,1,22,1
20,18,10,6,14,19,1
41,13,16,27,26,11,1
3,16,35,28,2,7,1
20,32,38,5,27,30,1
17,20,33,21,11,9,1
19,39,7,23,14,38,1
6,31,13,41,20,36,1
10,2,40,3,25,33,1
37,3,25,20,38,18,1
35,4,22,29,42,2,1
20,22,30,38,8,13,1
42,1,38,4,14,32,1
33,38,41,34,18,21,1
33,2,9,37,15,26,1
22,9,18,28,7,16,1
23,38,19,35,13,10,1
32,15,40,31,29,21,1
16,13,41,34,4,29,1
24,1,35,7,38,3,1
27,16,24,22,30,23,1
34,38,27,7,12,25,1
3,5,8,13,23,34,1
16,19,29,34,35,37,1
17,22,30,34,35,38,1
9,14,15,32,34,38,1
7,10,12,30,35,36,1
1,11,18,24,29,42,1
1,4,18,19,24,30,1
7,14,22,23,37,41,1
1,10,11,19,27,28,1
8,11,14,15,21,40,1
13,24,28,31,32,36,1
5,7,22,24,38,41,1
10,11,27,29,31,34,1
21,42,22,30,13,25,1
5,11,18,20,39,41,1
15,16,18,20,37,39,1
2,3,8,11,19,34,1
35,6,25,39,22,10,1
14,32,13,20,27,37,1
29,4,23,14,36,20,1
20,23,15,38,29,21,1
39,26,36,2,18,17,1
18,40,15,10,3,6,1
21,4,41,33,19,40,1
10,34,13,38,37,23,1
8,15,21,18,9,30,1
28,7,40,35,18,30,1
30,5,17,42,38,22,1
7,5,30,16,25,3,1
28,3,16,1,31,7,1
10,2,32,26,17,37,1
39,6,16,25,36,28,1
5,24,19,36,37,1,1
10,32,29,22,3,8,1
16,1,34,17,31,12,1
31,33,27,41,14,32,1
9,11,3,36,37,24,1
22,13,37,42,32,25,1
21,29,24,4,28,32,1
28,33,6,14,2,41,1
15,28,31,30,34,35,1
4,39,20,25,40,32,1
14,27,40,8,32,25,1
25,23,11,26,39,5,1
21,7,42,1,20,36,1
3,32,6,31,9,10,1
7,1,23,25,37,38,1
32,7,30,37,3,25,1
10,24,33,40,3,1,1
11,31,13,15,6,38,1
38,22,35,8,3,40,1
36,41,37,9,11,16,1
40,27,31,37,41,1,1
23,12,39,30,15,36,1
9,42,31,17,4,38,1
18,26,20,38,30,22,1
22,28,35,17,30,29,1
4,9,11,35,13,10,1
6,25,34,9,5,36,1
31,1,15,3,18,23,1
23,4,2,3,5,21,1
2,34,42,32,41,15,1
13,23,12,7,1,21,1
37,28,38,8,36,29,1
10,37,23,1,36,38,1
40,35,21,6,11,8,1
7,19,23,35,31,28,1
31,14,24,12,17,39,1
33,4,36,1,14,20,1
5,40,9,16,31,32,1
38,3,23,21,39,26,1
33,9,19,22,10,1,1
2,38,19,8,18,22,1
29,13,4,3,2,5,1
34,40,38,5,7,22,1
19,28,10,20,30,32,1
34,1,24,25,26,33,1
10,2,23,28,5,33,1
29,24,42,20,22,28,1
22,18,26,7,39,4,1
9,4,7,35,27,29,1
3,10,14,21,29,36,1
1,7,23,29,31,42,1
8,9,10,11,23,26,1
10,20,21,26,33,40,1
3,10,17,20,23,24,1
1,3,8,26,27,36,1
20,24,25,27,28,29,1
12,13,16,29,37,41,1
7,20,33,37,39,42,1
5,8,14,24,25,30,1
16,18,27,29,31,32,1
2,9,14,21,26,27,1
3,22,28,34,35,36,1
9,14,19,21,29,33,1
1,12,21,25,26,27,1
7,29,33,36,38,39,1
22,23,24,26,27,34,1
5,15,18,19,27,40,1
16,30,34,36,37,42,1
11,12,18,21,26,36,1
10,12,14,15,24,40,1
8,11,17,21,30,36,1
3,4,7,20,28,35,1
1,16,17,19,30,39,1
7,11,25,27,38,39,1
18,20,24,25,26,40,1
8,18,19,21,23,40,1
2,4,6,13,16,28,1
4,9,26,27,31,39,1
2,13,24,25,27,34,1
2,5,14,26,37,39,1
2,6,16,19,24,41,1
11,15,30,31,32,40,1
7,19,22,23,33,39,1
6,10,26,29,35,40,1
6,7,8,19,21,29,1
1,3,7,8,9,30,1
4,8,25,26,33,36,1
2,12,17,24,28,29,1
11,16,19,21,22,23,1
14,24,33,34,35,37,1
16,21,22,26,35,41,1
4,12,21,27,35,42,1
2,5,10,26,29,40,1
7,19,21,30,35,40,1
8,12,15,26,35,36,1
2,5,6,14,33,35,1
1,3,14,35,41,42,1
1,15,17,28,32,38,1
1,6,29,30,35,38,1
5,8,16,36,37,42,1
1,16,24,26,36,42,1
5,7,17,18,19,40,1
4,7,14,22,23,36,1
1,15,20,25,26,35,1
2,5,7,15,34,37,1
1,4,11,18,29,35,1
4,5,17,22,31,38,1
9,16,28,29,30,31,1
3,5,23,27,38,40,1
19,24,33,36,38,39,1
3,8,24,31,32,40,1
2,13,22,31,32,41,1
13,26,27,28,31,34,1
7,10,14,21,22,42,1
5,6,14,21,29,35,1
6,10,21,26,35,38,1
5,20,29,38,39,42,1
3,12,26,27,34,39,1
4,12,22,28,36,37,1
3,5,7,11,27,35,1
13,15,22,31,37,41,1
2,17,20,21,28,29,1
8,17,20,22,23,38,1
8,27,29,30,35,39,1
1,17,21,37,38,42,1
2,19,27,38,40,41,1
6,12,14,15,17,37,1
2,6,20,22,24,32,1
2,9,10,11,17,28,1
8,9,13,27,37,42,1
3,8,27,28,35,37,1
1,3,9,12,20,30,1
1,3,29,30,34,36,1
8,10,21,23,26,37,1
1,5,22,25,27,31,1
1,4,5,8,26,36,1
2,4,12,19,33,40,1
7,16,19,34,40,42,1
22,23,24,25,29,37,1
5,10,13,31,38,42,1
5,13,19,36,39,40,1
1,3,20,24,31,39,1
1,2,15,17,22,42,1
5,10,12,19,29,38,1
1,4,22,23,28,35,1
6,17,19,25,29,36,1
11,14,15,16,33,37,1
2,10,17,22,33,36,1
13,18,22,24,35,36,1
9,16,26,37,38,39,1
5,11,16,20,30,31,1
4,5,8,14,21,31,1
4,9,16,25,35,38,1
5,25,31,33,34,38,1
1,8,17,26,28,37,1
24,25,30,38,39,42,1
3,11,19,26,32,34,1
5,8,9,28,39,41,1
1,15,16,21,22,27,1
3,6,7,20,26,29,1
2,10,11,18,21,22,1
5,6,14,22,23,33,1
3,4,10,22,39,41,1
4,7,8,9,20,33,1
7,15,24,25,27,33,1
6,9,10,19,37,38,1
6,10,14,17,18,25,1
6,9,25,30,31,39,1
27,29,33,34,38,40,1
13,21,25,31,35,41,1
8,15,24,32,34,37,1
10,17,32,34,38,41,1
3,4,14,16,23,35,1
4,8,11,24,25,34,1
3,6,14,15,28,31,1
1,6,14,18,30,36,1
1,2,10,11,18,23,1
10,14,19,39,41,42,1
4,22,33,34,36,41,1
3,14,23,36,37,42,1
2,8,9,14,34,38,1
2,7,22,28,33,39,1
2,6,11,12,16,20,1
8,9,20,24,30,34,1
8,12,13,22,32,42,1
4,15,23,27,31,33,1
4,12,19,20,23,38,1
11,26,28,33,38,41,1
6,13,20,25,39,42,1
5,6,9,24,25,35,1
9,28,32,38,39,40,1
12,15,19,22,35,37,1
9,13,14,17,33,39,1
3,9,13,19,32,35,1
2,12,31,34,35,38,1
1,3,5,12,29,37,1
5,7,12,24,37,39,1
4,16,34,37,39,42,1
5,6,20,25,26,38,1
4,6,10,11,33,36,1
8,16,18,29,32,37,1
3,13,19,21,22,30,1
14,21,24,25,31,35,1
1,3,28,29,31,36,1
21,24,25,35,37,40,1
4,18,19,27,32,35,1
1,9,10,18,26,37,1
18,19,29,31,33,39,1
4,5,6,18,40,41,1
5,26,32,34,36,37,1
6,10,15,16,19,32,1
4,8,9,32,34,40,1
3,8,15,18,27,34,1
9,10,25,26,34,40,1
5,24,27,28,36,41,1
3,14,15,26,39,42,1
1,6,20,26,33,34,1
2,7,12,19,22,33,1
2,8,26,33,36,39,1
9,12,15,27,28,32,1
9,16,20,25,39,42,1
16,22,24,26,27,35,1
7,9,13,22,34,35,1
2,5,21,31,32,41,1
2,8,20,36,38,40,1
1,2,3,27,28,31,1
2,18,23,24,28,35,1
4,15,17,26,29,33,1
9,11,13,27,32,37,1
17,19,33,37,38,39,1
8,10,15,31,34,38,1
6,24,28,35,37,42,1
1,10,26,28,29,42,1
1,7,18,29,32,38,1
4,17,19,29,35,41,1
3,15,17,28,32,39,1
2,7,10,19,40,42,1
16,17,19,27,28,34,1
2,4,23,32,34,40,1
9,16,18,29,35,38,1
2,5,11,25,27,28,1
6,13,21,24,31,40,1
4,6,23,26,32,33,1
3,6,15,16,17,41,1
3,8,9,13,28,34,1
12,21,22,29,30,33,1
18,24,28,33,34,41,1
6,8,10,14,17,18,1
2,10,13,17,21,32,1
4,6,19,25,41,42,1
9,10,14,15,29,39,1
4,7,10,21,32,38,1
11,20,26,28,38,42,1
3,4,9,16,17,19,1
1,4,14,24,36,42,1
10,15,16,18,20,39,1
10,15,17,33,35,42,1
9,13,14,26,33,38,1
6,12,24,28,31,34,1
2,10,12,20,29,30,1
1,10,11,13,36,42,1
