ball_1,ball_2,ball_3,ball_4,ball_5,win_times
16,19,20,31,38,1
4,10,11,13,22,1
8,10,13,31,39,1
15,19,23,26,40,1
6,17,18,27,40,1
6,17,18,23,40,1
6,17,18,23,27,1
19,23,26,40,42,1
15,23,26,40,42,1
15,19,26,40,42,1
15,19,23,40,42,1
15,19,23,26,42,1
20,27,34,35,36,1
4,10,11,14,22,1
9,27,34,35,36,1
9,20,34,35,36,1
9,20,27,35,36,1
9,20,27,34,36,1
9,20,27,34,35,1
6,10,16,32,37,1
1,10,16,32,37,1
1,6,16,32,37,1
6,17,23,27,40,1
6,18,23,27,40,1
17,18,23,27,40,1
17,26,27,29,34,1
18,20,24,37,40,1
13,20,24,37,40,1
13,18,24,37,40,1
1,3,5,26,34,1
13,18,20,24,40,1
13,18,20,24,37,1
9,14,19,22,33,1
5,14,19,22,33,1
5,9,19,22,33,1
5,9,14,22,33,1
5,9,14,19,33,1
5,9,14,19,22,1
26,27,29,34,36,1
17,27,29,34,36,1
17,26,29,34,36,1
17,26,27,34,36,1
17,26,27,29,36,1
1,6,10,32,37,1
1,6,10,16,37,1
1,6,10,16,32,1
4,9,23,26,40,1
4,9,16,23,40,1
4,9,16,23,26,1
6,14,19,29,33,1
1,14,19,29,33,1
1,6,19,29,33,1
1,6,14,29,33,1
1,6,14,19,33,1
1,6,14,19,29,1
13,22,24,30,38,1
3,22,24,30,38,1
3,13,24,30,38,1
3,13,22,30,38,1
3,13,22,24,38,1
3,13,22,24,30,1
10,11,13,14,22,1
4,11,13,14,22,1
4,10,13,14,22,1
4,9,16,26,40,1
4,16,23,26,40,1
20,21,29,36,37,1
9,16,23,26,40,1
15,21,29,36,37,1
15,20,29,36,37,1
15,20,21,36,37,1
15,20,21,29,37,1
15,20,21,29,36,1
8,14,15,21,42,1
7,14,15,21,42,1
7,8,15,21,42,1
7,8,14,21,42,1
7,8,14,15,42,1
7,8,14,15,21,1
13,18,20,23,24,1
11,18,20,23,24,1
11,13,20,23,24,1
11,13,18,23,24,1
11,13,18,20,24,1
11,13,18,20,23,1
1,3,5,13,34,1
4,12,27,34,35,1
1,3,13,26,34,1
1,12,18,30,41,1
23,25,26,28,41,1
20,25,26,28,41,1
20,23,26,28,41,1
20,23,25,28,41,1
20,23,25,26,41,1
20,23,25,26,28,1
12,30,32,39,40,1
5,30,32,39,40,1
5,12,32,39,40,1
5,12,30,39,40,1
5,12,30,32,40,1
5,12,30,32,39,1
17,21,33,39,41,1
16,21,33,39,41,1
16,17,33,39,41,1
16,17,21,39,41,1
16,17,21,33,41,1
1,12,18,30,38,1
1,12,18,38,41,1
12,18,20,27,29,1
1,12,30,38,41,1
1,5,25,29,41,1
1,5,25,28,41,1
1,5,25,28,29,1
8,13,27,30,38,1
3,13,27,30,38,1
3,8,27,30,38,1
3,8,13,30,38,1
3,8,13,27,38,1
3,8,13,27,30,1
14,20,22,25,28,1
2,20,22,25,28,1
2,14,22,25,28,1
2,14,20,25,28,1
2,14,20,22,28,1
2,14,20,22,25,1
12,18,30,38,41,1
1,18,30,38,41,1
16,17,21,33,39,1
9,18,20,27,29,1
1,25,28,29,41,1
10,16,22,23,42,1
13,14,19,23,35,1
4,14,19,23,35,1
4,13,19,23,35,1
4,13,14,23,35,1
4,13,14,19,35,1
4,13,14,19,23,1
13,25,26,36,39,1
3,25,26,36,39,1
3,13,26,36,39,1
3,13,25,36,39,1
3,13,25,26,39,1
3,13,25,26,36,1
14,15,28,36,37,1
6,15,28,36,37,1
6,14,28,36,37,1
6,14,15,36,37,1
6,14,15,28,37,1
10,16,22,23,36,1
10,16,22,36,42,1
9,12,20,27,29,1
10,16,23,36,42,1
9,12,18,27,29,1
9,12,18,20,29,1
9,12,18,20,27,1
17,25,31,35,37,1
1,25,31,35,37,1
1,17,31,35,37,1
1,17,25,35,37,1
1,17,25,31,37,1
1,17,25,31,35,1
15,21,35,36,40,1
1,21,35,36,40,1
1,15,35,36,40,1
1,15,21,36,40,1
1,15,21,35,40,1
1,15,21,35,36,1
16,22,23,36,42,1
10,22,23,36,42,1
1,5,28,29,41,1
5,25,28,29,41,1
16,18,19,28,39,1
3,7,17,18,39,1
19,20,23,30,37,1
18,20,23,30,37,1
18,19,23,30,37,1
18,19,20,30,37,1
18,19,20,23,37,1
18,19,20,23,30,1
8,10,29,36,42,1
4,10,29,36,42,1
4,8,29,36,42,1
4,8,10,36,42,1
4,8,10,29,42,1
4,8,10,29,36,1
9,26,28,35,39,1
3,26,28,35,39,1
3,9,28,35,39,1
3,9,26,35,39,1
3,9,26,28,39,1
3,7,17,18,29,1
3,7,17,29,39,1
4,17,21,32,41,1
3,7,18,29,39,1
1,4,16,23,36,1
1,4,16,22,36,1
1,4,16,22,23,1
9,16,24,34,41,1
6,16,24,34,41,1
6,9,24,34,41,1
6,9,16,34,41,1
6,9,16,24,41,1
6,9,16,24,34,1
7,8,17,29,31,1
3,8,17,29,31,1
3,7,17,29,31,1
3,7,8,29,31,1
3,7,8,17,31,1
3,7,8,17,29,1
7,17,18,29,39,1
3,17,18,29,39,1
3,9,26,28,35,1
3,17,21,32,41,1
13,14,35,36,37,1
1,12,13,14,36,1
15,16,27,39,41,1
6,16,27,39,41,1
6,15,27,39,41,1
6,15,16,39,41,1
6,15,16,27,41,1
6,15,16,27,39,1
19,23,31,40,41,1
9,23,31,40,41,1
9,19,31,40,41,1
9,19,23,40,41,1
9,19,23,31,41,1
9,19,23,31,40,1
14,35,36,37,40,1
13,35,36,37,40,1
13,14,36,37,40,1
13,14,35,37,40,1
13,14,35,36,40,1
1,12,13,14,16,1
1,12,13,16,36,1
3,4,21,32,41,1
1,12,14,16,36,1
3,4,17,32,41,1
3,4,17,21,41,1
3,4,17,21,32,1
9,12,13,36,38,1
1,12,13,36,38,1
1,9,13,36,38,1
1,9,12,36,38,1
1,9,12,13,38,1
1,9,12,13,36,1
12,16,20,23,41,1
7,16,20,23,41,1
7,12,20,23,41,1
7,12,16,23,41,1
7,12,16,20,41,1
7,12,16,20,23,1
12,13,14,16,36,1
1,13,14,16,36,1
6,14,15,28,36,1
