game_number,day,month,year,ball_1,ball_2,ball_3,ball_4,ball_5,ball_6,super_ball,MEGA_JACK_POT_WINNERS,MEGA_JACK_POT_SUMM,MEGA_PRISE_WINNERS,MEGA_PRISE_SUMM,5_plus_MegaBall_WINNERS,5_plus_MegaBall_SUMM,5_Balls_WINNERS,5_Balls_SUMM,4_plus_MegaBall_WINNERS,4_plus_MegaBall_SUMM,4_Balls_WINNERS,4_Balls_SUMM,3_plus_MegaBall_WINNERS,3_plus_MegaBall_SUMM,3_Balls_WINNERS,3_Balls_SUMM
508,12,7,2006,01,05,09,16,21,29,7,0,1160000,0,0,0,0,1,5875,0,0,220,53,0,0,3247,5

509,15,7,2006,10,14,18,20,32,39,7,0,1180000,0,0,0,0,4,1451,0,0,160,72,0,0,2846,5

510,19,7,2006,07,13,21,22,27,42,8,0,1200000,0,0,0,0,10,571,0,0,257,44,0,0,3349,5

511,22,7,2006,05,11,14,21,31,39,7,0,1220000,0,0,0,0,8,737,0,0,240,49,0,0,3365,5

512,26,7,2006,01,03,11,12,18,30,2,0,1240000,0,0,0,0,4,1441,0,0,213,54,0,0,3183,5

513,29,7,2006,10,20,28,29,30,42,7,0,1280000,0,0,0,0,3,1902,0,0,205,55,0,0,3043,5

514,2,8,2006,04,06,12,25,27,33,0,0,1300000,0,0,0,0,1,5486,0,0,182,60,0,0,2788,5

515,5,8,2006,05,16,19,23,32,39,8,0,1320000,0,0,0,0,4,1414,0,0,214,52,0,0,2969,5

516,9,8,2006,02,06,10,15,17,41,5,0,1340000,0,0,0,0,6,916,0,0,256,42,0,0,3512,5

517,13,8,2006,05,15,16,22,39,41,3,0,1360000,0,0,0,0,4,1506,0,0,170,70,0,0,3036,5

518,16,8,2006,04,13,27,30,34,36,1,0,1380000,0,0,0,0,3,1870,0,0,204,55,0,0,3015,5

519,19,8,2006,02,06,17,19,34,38,6,0,1400000,0,0,0,0,4,1447,0,0,182,63,0,0,2728,5

520,23,8,2006,10,19,33,36,41,42,4,0,1420000,0,0,0,0,3,1978,0,0,130,91,0,0,2549,5

521,26,8,2006,12,17,18,19,21,22,6,0,1440000,0,0,0,0,5,1075,0,0,113,95,0,0,2249,5

522,30,8,2006,01,15,16,18,25,35,7,0,1460000,0,0,0,0,4,1374,0,0,157,70,0,0,2824,5

523,2,9,2006,01,02,27,30,33,37,0,0,1480000,0,0,0,0,5,1155,0,0,154,75,0,0,2477,5

524,6,9,2006,06,15,24,38,41,42,1,0,1500000,1,24371,0,0,7,828,0,0,206,56,0,0,2887,5

525,9,9,2006,03,11,17,23,29,35,4,0,1520000,0,0,0,0,12,507,0,0,344,35,0,0,4113,5

526,13,9,2006,05,18,24,28,29,30,9,0,1560000,0,0,0,0,1,5627,0,0,177,63,0,0,2737,5

527,16,9,2006,09,12,13,28,32,39,8,0,1560000,0,0,0,0,4,1468,0,0,205,57,0,0,3121,5

528,20,9,2006,03,18,23,32,34,40,9,0,1580000,0,0,0,0,2,2911,0,0,179,65,0,0,2933,5

